candidate,lambda,omega_log_K,pressure_GPa,Tc_recorded_mu010_K,Tc_recorded_mu013_K,Tc_AD_f1f2_mu010_K,Tc_AD_f1f2_mu013_K,lift_pct_mu010,lift_pct_mu013,grade,record
SrAuH3,0.615,591.18,0,14.6,10.4,14.9,10.6,2.51,2.23,GREEN_SUPPORTED_NUMERICAL,rtsc_srauh3_dft_4x4x4q_20260525.json
H3F,0.822,670.3,,33.2,27.0,34.4,28.0,3.82,3.41,GREEN_SUPPORTED_NUMERICAL,rtsc_h3f_dft_6x6x6q_novel_20260524.json
H3As,0.9706,444.06,,29.5,25.2,30.9,26.3,4.86,4.33,GREEN_SUPPORTED_NUMERICAL,rtsc_h3as_dft_6x6x6q_20260525.json
Nb,1.171,193.0,0,16.8,14.8,17.8,15.6,6.34,5.67,GREEN_SUPPORTED_NUMERICAL,rtsc_nb_dft_elph_ambient_proof_20260522.json
H3Se,1.258,1356.7,,128.5,114.8,137.5,122.0,7.02,6.27,GREEN_SUPPORTED_NUMERICAL,rtsc_h3se_dft_6x6x6q_novel_20260522.json
H3Cl,1.406,1250.4,,133.7,121.1,144.7,130.0,8.19,7.34,GREEN_SUPPORTED_NUMERICAL,rtsc_h3cl_dft_6x6x6q_novel_20260524.json
H3Si,1.821,571.8,,76.9,71.3,85.8,78.8,11.68,10.49,GREEN_SUPPORTED_NUMERICAL,rtsc_h3si_dft_6x6x6q_novel_20260524.json
H3Br,2.1563,1046.2,200,158.1,148.2,181.2,167.7,14.63,13.17,GREEN_SUPPORTED_NUMERICAL,rtsc_h3br_200gpa_fullbz_elph_20260527.json
H3Te,2.41,467.6,,75.5,71.2,88.2,82.0,16.92,15.25,GREEN_SUPPORTED_NUMERICAL,rtsc_h3te_dft_6x6x6q_novel_20260522.json
H3S,2.619,1154.3,200,194.8,184.3,231.4,215.6,18.82,17.00,GREEN_SUPPORTED_NUMERICAL,rtsc_h3s_dft_6x6x6q_textbook_proof_20260522.json
H3O,2.729,1110.8,,191.3,181.3,229.3,213.8,19.83,17.92,GREEN_SUPPORTED_NUMERICAL,rtsc_h3o_dft_6x6x6q_novel_20260524.json
YH10,2.8197,1300.43,250,227.5,215.9,274.5,256.3,20.67,18.69,GREEN_SUPPORTED_NUMERICAL,rtsc_yh10_dft_elph_20260528.json
H3Po,3.313,258.2,,48.4,46.2,60.6,56.8,25.23,22.89,GREEN_SUPPORTED_NUMERICAL,rtsc_h3po_dft_6x6x6q_novel_20260524.json
CaH6,4.376,1236.4,172,255.1,245.1,344.5,323.5,35.06,31.99,GREEN_SUPPORTED_NUMERICAL,rtsc_cah6_dft_4x4x4q_textbook_proof_20260524.json
