name,smiles,best_kcalmol,n_modes
CX32L8_diaryl_ether_F,"Oc1ccc(Oc2ccc(F)cc2)cc1",-6.4,9
CX32L14_difluoro_benzimidazole,"Fc1ccc2[nH]c(-c3ccccc3)nc2c1",-6.1,9
REF_2naphthoate_PLACEHOLDER,"O=C(O)c1ccc2ccccc2c1",-6.1,9
CX32L1_benzofuran2carboxamide,"O=C(N)c1cc2ccccc2o1",-5.9,9
CX32L4_quinoline2carboxylic,"OC(=O)c1ccc2ccccc2n1",-5.9,9
CX32L5_biphenyl_carboxamide_F,"O=C(N)c1ccc(-c2ccc(F)cc2)cc1",-5.8,9
CX32L2_indole3acetamide_Nme,"O=C(NC)Cc1c[nH]c2ccccc12",-5.7,9
CX32L9_aryl_sulfone_aniline,"Nc1ccc(cc1)S(=O)(=O)c1ccccc1",-5.7,9
CX32L11_chromane_carboxamide,"O=C(N)C1CCc2ccccc2O1",-5.6,9
CX32L3_indazole5carboxamide,"O=C(N)c1ccc2[nH]ncc2c1",-5.6,9
CX32L6_phenyl_pyridine_amide,"O=C(N)c1ccc(-c2ccncc2)cc1",-5.6,9
REF_4PBA_anchor,"OC(=O)CCCc1ccccc1",-5.6,9
CX32L13_aminothiazole_benzamide,"O=C(Nc1nccs1)c1ccccc1",-5.5,9
CX32L12_methylindole_carbonitrile,"N#Cc1ccc2[nH]c(C)cc2c1",-5.4,9
CX32L10_tetrahydronaphthylamine,"NC1CCc2ccccc2C1",-5.3,9
CX32L7_benzothiophene_carboxamide,"O=C(N)c1cc2ccccc2s1",-5.3,9
CX32L15_naphthyridine_amine,"Nc1ccc2ccncc2n1",-4.9,9
