ID	smiles	affinity	net_charge
ML349_real	COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC4=C(S3)C5=CC=CC=C5S(=O)(=O)C4	-8.88660049	0
ML348_real	C1CN(CCN1CC(=O)NC2=C(C=CC(=C2)C(F)(F)F)Cl)C(=O)C3=CC=CO3	-9.41279316	0
W0_warhead	CCOC(=O)c1ccsc1NC(=O)Cc1ccccc1	-8.41923332	0
N1	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCC[NH+](C)C)cc1	-8.34521675	1
N2	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCCC[NH+](C)C)cc1	-8.62639904	1
N3	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(C[NH+]2CCCC2)cc1	-8.7199049	1
N4	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCC[NH+]2CCCC2)cc1	-8.69509506	1
N5	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCC[NH+]2CCOCC2)cc1	-8.82481384	1
N6	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCCNC(=[NH2+])N)cc1	-8.91670322	1
N7	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCCN2CC[NH+](C)CC2)cc1	-8.38687897	1
N8	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCC[NH2+]CCC[NH3+])cc1	-8.44405651	2
N9	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCC[NH+]2CC[NH2+]CC2)cc1	-8.70830441	2
N10	CCOC(=O)c1ccsc1NC(=O)Cc1ccc(OCCCNC(=[NH2+])N)cc1	-8.74939251	1
NC1_buried	CCOC(=O)c1ccsc1NC(=O)C[N+](C)(C)C	-5.69151354	1
NC2_nowarhead	[NH+](C)(C)CCOc1ccc(CC(=O)O)cc1	-7.4597187	1
